,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE
2012-02-09,5.8,390715.046567,5.13418159,92417.0,80.30966950047416,7255.13418159,1379647.0,71.0,10.066707007468496,8298500.0,5.61
2012-02-10,5.92525,501592.274771,7.36132278,91333.0,80.44365782515055,7257.36132278,1379647.0,66.0,10.01074789419214,8305750.0,5.7
2012-02-11,6.0,166725.347325,4.2245492,103158.0,77.36926539045182,6904.2245492,1379647.0,71.0,9.895492943906676,8312650.0,5.89
2012-02-12,5.85,605923.158767,3.86008926,141274.0,78.37395492512536,7503.86008926,1379647.0,50.0,9.826910319542968,8320150.0,5.65
2012-02-13,5.72,1150509.00459,3.76758105,136595.0,77.74491965997224,7903.76758105,1379647.0,38.0,9.983670603802873,8328050.0,5.55
2012-02-14,5.6,1595943.96728,5.48199454,381705.0,77.66002930554046,6855.48199454,1379647.0,37.0,9.895492943906676,8334900.0,5.34
2012-02-15,4.88,606265.920409,15.76436781,429552.0,92.47323022787846,6915.76436781,1379647.0,41.0,9.90529046167292,8341800.0,4.55
2012-02-16,4.7336800000000006,1022854.9316700001,6.72396705,274715.0,92.19018335084348,6706.72396705,1379647.0,49.0,9.797517766244237,8348500.0,4.46
2012-02-17,4.76998,689769.489315,8.72128795,188725.0,86.15354308251972,6908.72128795,1379647.0,45.0,9.728935141880523,8355400.0,4.23
2012-02-18,4.49675,325162.16441100003,3.68549153,117067.0,88.4830693286475,7603.68549153,1379647.0,46.0,9.866100390607944,8363000.0,4.43
2012-02-19,4.33333,157343.74569100002,3.21621826,81468.0,86.60310156885286,8553.21621826,1376302.0,49.0,10.067786260030957,8371550.0,4.24
2012-02-20,4.52,279579.97352199996,2.64479077,105324.0,87.25896004212666,7902.64479077,1376302.0,39.0,10.064033063659249,8379450.0,4.44
2012-02-21,4.4354,199367.959757,4.35283223,103033.0,86.92426014116766,7004.35283223,1376302.0,38.0,10.09009999991976,8386450.0,4.36
2012-02-22,4.54,382274.63639,3.19851658,146255.0,86.52303828631916,6453.19851658,1376302.0,40.0,9.998858021466916,8392900.0,4.3
2012-02-23,4.92481,681747.6589779999,3.433529,125333.0,87.97774739687368,7953.433529000001,1376302.0,44.0,10.240019014843897,8400850.0,4.45
2012-02-24,5.197780000000001,682550.9772890001,5.20704941,167523.0,97.13906042927923,8305.20704941,1376302.0,36.0,10.5104062806677,8409150.0,4.95
