Date,Value
2018-10-16,216583.454729
2018-10-15,64000.4546854
2018-10-14,58874.0592646
2018-10-13,128397.512973
2018-10-12,139087.735724
2018-10-11,115412.589702
2018-10-10,106727.578976
2018-10-09,94374.5127978
2018-10-08,37558.2125624
2018-10-07,58935.4618015
2018-10-06,95772.5076786
2018-10-05,101249.050069
2018-10-04,114389.31778
2018-10-03,126366.958307
2018-10-02,104262.659071
2018-10-01,63803.9851746
2018-09-30,70886.8428319
2018-09-29,136792.502241
2018-09-28,126129.933258
2018-09-27,115703.742455
2018-09-26,131313.27578
2018-09-25,75835.5024515
2018-09-24,50088.4155827
2018-09-23,68523.4408454
2018-09-22,147934.626043
2018-09-21,106443.205486
2018-09-20,106220.984494
2018-09-19,95446.7224939
2018-09-18,89722.9846249
2018-09-17,43568.8151246
2018-09-16,57528.2677457
2018-09-15,112810.824372
2018-09-14,193728.122384
2018-09-13,105993.412966
2018-09-12,117778.937078
2018-09-11,112368.522844
2018-09-10,73912.8433867
2018-09-09,57255.7627063
2018-09-08,114506.972307
2018-09-07,168447.98859
2018-09-06,133041.216176
2018-09-05,115634.764561
2018-09-04,99809.2156175
2018-09-03,61620.4373348
2018-09-02,74829.355805
2018-09-01,124281.241352
2018-08-31,115317.205837
2018-08-30,123431.918452
2018-08-29,139981.863759
2018-08-28,116991.688912
2018-08-27,56858.1072439
2018-08-26,76480.867006
2018-08-25,101002.997483
2018-08-24,137478.916732
2018-08-23,154080.445134
2018-08-22,136643.373249
2018-08-21,96863.9443574
2018-08-20,42548.3240057
2018-08-19,57901.1083555
2018-08-18,121209.346924
2018-08-17,108291.354386
2018-08-16,137937.511499
2018-08-15,174756.677566
2018-08-14,131745.375648
2018-08-13,52911.9729427
2018-08-12,81893.0167328
2018-08-11,118419.195104
2018-08-10,146500.59876
2018-08-09,121815.320656
2018-08-08,93901.5277312
2018-08-07,104968.69779
2018-08-06,53304.0756676
2018-08-05,65849.1358715
2018-08-04,125025.880964
2018-08-03,136332.126632
2018-08-02,94246.9510897
2018-08-01,115565.838891
2018-07-31,106625.906597
2018-07-30,88703.3968105
2018-07-29,62268.6695096
2018-07-28,110006.938994
2018-07-27,101232.442731
2018-07-26,122048.884229
2018-07-25,143048.84392
2018-07-24,121380.86876
2018-07-23,52417.4180826
2018-07-22,71687.2879837
2018-07-21,109510.711042
2018-07-20,134422.759813
2018-07-19,144196.281052
2018-07-18,119036.121934
2018-07-17,114418.440063
2018-07-16,56082.3941904
2018-07-15,54585.4995824
2018-07-14,104735.264012
2018-07-13,107049.001041
2018-07-12,109855.734423
2018-07-11,127134.681838
2018-07-10,95508.9009478
2018-07-09,84095.989436
2018-07-08,54818.1206411
2018-07-07,122863.522458
2018-07-06,99701.0787166
2018-07-05,100547.95528
2018-07-04,131532.598772
2018-07-03,112596.070893
2018-07-02,156142.425068
2018-07-01,82832.6657605
2018-06-30,110240.313894
2018-06-29,114621.098983
2018-06-28,129636.339222
2018-06-27,97662.6181948
2018-06-26,109699.793469
2018-06-25,94335.8936899
2018-06-24,70756.8139477
2018-06-23,139066.277375
2018-06-22,106868.49589
2018-06-21,94157.5773348
2018-06-20,106824.894884
2018-06-19,102492.492335
2018-06-18,66167.6946822
2018-06-17,61035.9813268
2018-06-16,120303.964614
2018-06-15,128266.464738
2018-06-14,158822.645112
2018-06-13,125289.9849
2018-06-12,139263.304859
2018-06-11,94045.9776892
2018-06-10,66895.0211018
2018-06-09,107618.304446
2018-06-08,104275.284842
2018-06-07,102030.298785
2018-06-06,100695.49788
2018-06-05,103191.066844
2018-06-04,63102.8572775
2018-06-03,68084.9281672
2018-06-02,115082.964211
2018-06-01,110506.353382
2018-05-31,122200.711941
2018-05-30,123808.71567
2018-05-29,142151.014877
2018-05-28,55105.4830786
2018-05-27,57878.4032589
2018-05-26,105922.965896
2018-05-25,132244.687938
